"","Detail","Price","Mileage"
"99","2018 Porsche Cayenne Platinum Edition","$46,205","21,556 mi."
"100","2014 Porsche Cayman S","$43,997","67,773 mi."
"101","2006 Porsche 911 Carrera S Cabriolet","$57,995","36,561 mi."
"102","2019 Porsche 911 GT3 RS","$278,000","3,088 mi."
"103","2021 Porsche 911 Turbo S","$256,000","2,227 mi."
"104","2018 Porsche Panamera 4S","$89,900","20,278 mi."
"105","2013 Porsche Cayenne Base","$28,590","78,943 mi."
"106","2022 Porsche Panamera GTS","$151,900","5,012 mi."
"107","2004 Porsche Carrera GT Base (M6)","$2,499,900","809 mi."
"108","2014 Porsche 911 Turbo S","$152,900","11,568 mi."
"109","2022 Porsche 911 Carrera S","$159,993","3,686 mi."
"110","2011 Porsche 911 Carrera GTS","$89,900","23,726 mi."
"111","2020 Porsche 911 Carrera 4S","$140,697","10,824 mi."
"112","2017 Porsche Cayenne S","$45,900","70,993 mi."
"113","2016 Porsche 911 Turbo S","$143,999","34,418 mi."
"114","2020 Porsche Macan Base","$50,990","30,733 mi."
"115","2020 Porsche 911 Carrera 4S","$149,490","11,204 mi."
"116","2015 Porsche 911 GT3","$152,990","17,212 mi."
"117","2011 Porsche Panamera S","$28,566","96,646 mi."
"118","2017 Porsche Panamera 4S","$60,995","78,354 mi."
"119","2005 Porsche 911 Carrera S","$54,550","51,012 mi."
"120","2018 Porsche 718 Cayman S","$71,990","24,355 mi."
"121","2018 Porsche Cayenne Turbo","$79,495","18,155 mi."
"122","2000 Porsche Boxster S","$17,642","35,361 mi."
"123","2016 Porsche Cayenne GTS","$46,975","67,400 mi."
"124","2012 Porsche 911 Carrera GTS","$89,900","30,463 mi."
"125","2019 Porsche Cayenne Base","$60,000","29,540 mi."
"126","2018 Porsche 911 GT3","$210,000","5,425 mi."
"127","2011 Porsche Cayenne S","$17,485","125,879 mi."
"128","2015 Porsche Panamera 4","$42,895","52,681 mi."
"129","2007 Porsche 911 Carrera S","$42,555","81,247 mi."
"130","2004 Porsche 911 Carrera 4S Cabriolet","$39,000","63,131 mi."
"131","2016 Porsche Cayenne Base","$34,900","43,078 mi."
"132","2006 Porsche 911 Carrera","$37,500","80,265 mi."
"133","2014 Porsche Cayman Base","$41,900","60,156 mi."
"134","2018 Porsche Cayenne Platinum Edition","$50,900","45,216 mi."
"135","1986 Porsche 928 S","$38,292","54,817 mi."
"136","2020 Porsche 911 Carrera 4S","$145,000","10,889 mi."
"137","2019 Porsche Cayenne S","$63,523","50,898 mi."
"138","2012 Porsche Panamera 4","$26,300","96,813 mi."
"139","2012 Porsche 911 Carrera","$67,900","35,233 mi."
"140","2004 Porsche Cayenne Turbo","$8,950","193,517 mi."
"141","2022 Porsche 911 GT3","$284,900","1,933 mi."
"142","2015 Porsche 911 Carrera 4S","$87,500","23,633 mi."
"143","2017 Porsche 911 Carrera 4S","$124,990","4,930 mi."
"144","2014 Porsche Cayman S","$53,981","51,942 mi."
"145","2018 Porsche Panamera 4S","$81,447","32,638 mi."
"146","2017 Porsche 911 Carrera 4S","$105,800","26,007 mi."
"147","2017 Porsche 911 Turbo S","$164,800","27,084 mi."
"148","2009 Porsche 911 Turbo Cabriolet","$109,800","34,428 mi."
"149","2006 Porsche 911 Carrera S","$39,990","89,906 mi."
"150","2014 Porsche Cayenne Platinum Edition","$26,895","91,310 mi."
"151","2005 Porsche 911 Carrera","$49,995","28,655 mi."
"152","2014 Porsche Cayman Base","$36,995","76,414 mi."
"153","2013 Porsche Boxster S","$46,494","57,088 mi."
"154","2013 Porsche 911 ","$79,988","25,088 mi."
"155","2008 Porsche Cayman S","$31,995","57,485 mi."
"156","2016 Porsche 911 Turbo","$129,888","25,466 mi."
"157","2007 Porsche Boxster S","$20,404","97,076 mi."
"158","2011 Porsche Panamera 4","$24,159","101,667 mi."
"159","2020 Porsche 911 Carrera","$118,988","9,265 mi."
"160","2018 Porsche Cayenne E-Hybrid S","$54,879","31,410 mi."
"161","2014 Porsche Cayman Base","$39,900","69,212 mi."
"162","2017 Porsche 911 Turbo S","$172,000","14,198 mi."
"163","2010 Porsche Cayman ","$38,853","35,102 mi."
"164","2015 Porsche 911 Targa 4S","$111,994","47,392 mi."
"165","2015 Porsche Panamera 2","$39,994","51,732 mi."
"166","2020 Porsche 911 Carrera S","$134,994","21,595 mi."
"167","2020 Porsche 911 Carrera","$132,991","12,766 mi."
"168","2017 Porsche Panamera 4","$64,991","34,236 mi."
"169","2022 Porsche Macan Base","$70,710","2,186 mi."
"170","2022 Porsche 911 Turbo S","$289,995","3,230 mi."
"171","2008 Porsche Cayman S","$35,977","29,780 mi."
"172","1987 Porsche 924 S","$13,999","27,140 mi."
"173","2011 Porsche Cayenne Base","$29,990","24,390 mi."
"174","2020 Porsche Macan S","$66,995","29,155 mi."
"175","2016 Porsche Cayman GT4","$123,995","15,225 mi."
"176","2017 Porsche 718 Boxster S","$80,995","4,824 mi."
"177","2022 Porsche Cayenne Turbo Coupe AWD","$174,995","785 mi."
"178","2002 Porsche Boxster ","$11,950","85,233 mi."
"179","2002 Porsche 911 Carrera Cabriolet","$23,000","74,358 mi."
"180","2019 Porsche 718 Cayman Base","$68,989","13,485 mi."
"181","2017 Porsche Cayenne Platinum Edition","$40,580","49,664 mi."
"182","2018 Porsche Macan PLUS","$47,707","35,949 mi."
"183","2012 Porsche Cayenne Base","$22,995","81,432 mi."
"184","2015 Porsche Cayman Base","$59,980","29,017 mi."
"185","2018 Porsche Macan S","$51,595","19,539 mi."
"186","2022 Porsche Macan Base","$67,496","5,796 mi."
"187","2021 Porsche Macan Base","$57,795","5,035 mi."
"188","2021 Porsche Macan S","$64,995","25,764 mi."
"189","2020 Porsche Taycan 4S","$119,993","15,020 mi."
"190","2021 Porsche Macan Base","$59,195","2,225 mi."
"191","2015 Porsche Macan S","$37,590","28,833 mi."
"192","2011 Porsche 911 Carrera S","$69,899","27,414 mi."
"193","2020 Porsche Panamera E-Hybrid 4","$97,464","9,967 mi."
"194","2016 Porsche Panamera ","$48,999","60,273 mi."
"195","2012 Porsche Panamera Turbo S","$56,990","65,132 mi."
"196","1984 Porsche 928 S","$17,997","108,475 mi."
"197","2014 Porsche Boxster Base","$42,500","36,786 mi."
"198","2018 Porsche 718 Boxster S","$77,356","12,438 mi."
"199","2022 Porsche 718 Cayman GT4","$146,995","1,066 mi."
"200","2014 Porsche Cayman Base","$52,795","20,874 mi."
"201","2017 Porsche Panamera Turbo","$78,991","62,187 mi."
"202","1991 Porsche 911 ","$139,900","56,215 mi."
"203","2022 Porsche 718 Boxster GTS 4.0","$123,950","10,359 mi."
"204","2018 Porsche 911 Turbo S","$195,000","16,140 mi."
"205","2015 Porsche 911 Carrera","$62,000","64,000 mi."
"206","2017 Porsche Cayenne E-Hybrid S","$55,998","22,023 mi."
"207","2008 Porsche 911 Carrera S Cabriolet","$57,900","24,239 mi."
"208","2014 Porsche Panamera 2","$26,900","97,635 mi."
"209","2008 Porsche 911 Carrera 4S","$48,991","62,951 mi."
"210","2018 Porsche Panamera 4","$60,600","49,341 mi."
"211","1999 Porsche 911 Carrera","$18,990","121,421 mi."
"212","1997 Porsche 911 Carrera","$76,988","69,680 mi."
"213","2022 Porsche 911 Carrera 4","$154,900","5,616 mi."
"214","2017 Porsche 911 Turbo S","$143,900","56,092 mi."
"215","2019 Porsche 911 GT3","$209,900","8,525 mi."
"216","2005 Porsche 911 Turbo S","$94,800","27,491 mi."
"217","1995 Porsche 911 Carrera Cabriolet","$92,800","38,427 mi."
"218","2019 Porsche Cayenne E-Hybrid Base","$73,900","34,465 mi."
"219","2016 Porsche Panamera Turbo","$69,775","41,164 mi."
"220","2018 Porsche 911 Carrera 4S","$117,900","12,922 mi."
"221","2017 Porsche 911 Carrera S","$99,900","35,884 mi."
"222","2009 Porsche 911 Carrera S","$69,900","28,663 mi."
"223","2015 Porsche 911 Carrera 4S","$93,775","27,431 mi."
"224","2017 Porsche 911 Carrera 4S","$114,900","16,287 mi."
"225","2021 Porsche Cayenne E-Hybrid AWD","$93,400","12,861 mi."
"226","2013 Porsche 911 Carrera S","$77,900","37,513 mi."
"227","2021 Porsche Panamera 4","$93,985","16,441 mi."
"228","2015 Porsche 911 Targa 4S","$116,800","10,496 mi."
"229","2017 Porsche 911 Carrera S","$104,900","36,747 mi."
"230","2018 Porsche 911 Carrera S","$115,900","24,333 mi."
"231","2004 Porsche 911 Carrera 4S Cabriolet","$51,000","51,840 mi."
"232","2018 Porsche 911 Carrera GTS","$129,400","22,335 mi."
"233","2021 Porsche 911 Turbo S","$299,900","112 mi."
"234","2010 Porsche Panamera Turbo","$25,650","142,236 mi."
"235","2022 Porsche Macan Base","$61,850","9,144 mi."
"236","2014 Porsche Panamera Base","$29,850","81,936 mi."
"237","2018 Porsche 911 GT2 RS","$417,999","402 mi."
"238","2018 Porsche 911 GT3","$217,999","1,267 mi."
"239","2014 Porsche 911 Turbo S","$128,800","29,521 mi."
"240","2016 Porsche 911 GT3 RS","$204,800","14,920 mi."
"241","2019 Porsche Panamera 4","$75,988","19,540 mi."
"242","2022 Porsche 911 GT3","$399,800","288 mi."
"243","2019 Porsche 911 GT3 RS","$264,800","13,549 mi."
"244","2018 Porsche 911 GT2 RS","$399,800","6,062 mi."
"245","2017 Porsche 911 Carrera GTS","$116,800","23,325 mi."
"246","2017 Porsche 911 Carrera 4S","$135,800","18,151 mi."
"247","2001 Porsche Boxster S","$15,395","52,450 mi."
"248","1995 Porsche 911 Carrera","$89,950","96,130 mi."
"249","2019 Porsche 911 Carrera 4 GTS","$172,995","11,998 mi."
"250","2014 Porsche 911 Carrera 4S","$92,995","23,757 mi."
"251","2011 Porsche 911 Turbo S","$99,998","32,136 mi."
"252","2007 Porsche 911 Carrera S","$63,995","16,169 mi."
"253","2018 Porsche 911 GT3","$196,369","11,300 mi."
"254","1992 Porsche 911 Carrera 2","$389,886","35,574 mi."
"255","2022 Porsche 911 Carrera 4","$144,444","125 mi."
"256","2019 Porsche 911 Carrera S","$114,888","6,876 mi."
"257","2019 Porsche 911 Targa 4S","$148,000","17,291 mi."
"258","2018 Porsche 911 Carrera","$91,897","29,172 mi."
"259","2021 Porsche 911 Targa 4S","$185,559","1,448 mi."
"260","2019 Porsche 911 Carrera GTS","$149,990","10,911 mi."
